q1_activity,q2_destination,q3_pace,q4_accommodation,q5_souvenir,q6_evening,q7_motivation,label
Shopping / city exploration,Cities,Balanced with some activity,Luxury resorts,City shopping items,Shopping in city malls,Family bonding,Family Planner
Nature walks or beaches,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Campfire or trek,Peace / spiritual connection,Nature Lover
Hiking or adventure sports,Mountains,Always on the move and adventurous,Budget hostels,Local snacks / food items,Trying street food,Exploring more with less (budget travel),Budget Backpacker
Nature walks or beaches,Heritage sites,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Visiting temples / spiritual places,Heritage sites,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Visiting museums / monuments,Heritage sites,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Relaxing on a beach,Mountains,Relaxed and slow,Luxury resorts,Handicrafts / art,Romantic dinner by the sea,Romantic time,Romantic Couple
Visiting museums / monuments,Beaches,Balanced with some activity,Luxury resorts,Handicrafts / art,Shopping in city malls,Family bonding,Family Planner
Nature walks or beaches,Forests,Relaxed and slow,Beachside cottages,Handicrafts / art,Relaxing on the beach,Relaxation,Relaxation Lover
Hiking or adventure sports,Villages,Always on the move and adventurous,Homestays / local inns,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Nature walks or beaches,Forests,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Visiting museums / monuments,Villages,Balanced with some activity,Luxury resorts,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Nature walks or beaches,Cities,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Night market shopping,Exploring more with less (budget travel),Budget Backpacker
Visiting museums / monuments,Villages,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Exploring local cuisine,Mountains,Balanced with some activity,Homestays / local inns,Local snacks / food items,Trying street food,Food discovery,Foodie
Hiking or adventure sports,Villages,Always on the move and adventurous,Homestays / local inns,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Hiking or adventure sports,Beaches,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Trying street food,Exploring more with less (budget travel),Budget Backpacker
Shopping / city exploration,Cities,Always on the move and adventurous,Budget hostels,Local snacks / food items,Campfire or trek,Exploring more with less (budget travel),Budget Backpacker
Relaxing on a beach,Forests,Relaxed and slow,Beachside cottages,Handicrafts / art,Relaxing on the beach,Relaxation,Relaxation Lover
Visiting museums / monuments,Cities,Relaxed and slow,Luxury resorts,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Nature walks or beaches,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Peace / spiritual connection,Nature Lover
Visiting museums / monuments,Cities,Balanced with some activity,Luxury resorts,City shopping items,Shopping in city malls,Family bonding,Family Planner
Visiting museums / monuments,Mountains,Relaxed and slow,Beachside cottages,Handicrafts / art,Romantic dinner by the sea,Romantic time,Romantic Couple
Visiting temples / spiritual places,Heritage sites,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Visiting museums / monuments,Heritage sites,Balanced with some activity,Luxury resorts,City shopping items,Shopping in city malls,Urban life / shopping,Shopper / Urban Explorer
Nature walks or beaches,Forests,Relaxed and slow,Beachside cottages,Handicrafts / art,Relaxing on the beach,Relaxation,Relaxation Lover
Nature walks or beaches,Villages,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Exploring local cuisine,Mountains,Relaxed and slow,Budget hostels,Local snacks / food items,Trying street food,Food discovery,Foodie
Hiking or adventure sports,Mountains,Always on the move and adventurous,Homestays / local inns,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Hiking or adventure sports,Cities,Always on the move and adventurous,Budget hostels,Local snacks / food items,Campfire or trek,Exploring more with less (budget travel),Budget Backpacker
Nature walks or beaches,Forests,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Visiting temples / spiritual places,Forests,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Nature walks or beaches,Beaches,Balanced with some activity,Luxury resorts,City shopping items,Shopping in city malls,Family bonding,Family Planner
Relaxing on a beach,Heritage sites,Relaxed and slow,Beachside cottages,Handicrafts / art,Romantic dinner by the sea,Romantic time,Romantic Couple
Exploring local cuisine,Beaches,Relaxed and slow,Budget hostels,Local snacks / food items,Trying street food,Food discovery,Foodie
Hiking or adventure sports,Villages,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Visiting museums / monuments,Cities,Balanced with some activity,Homestays / local inns,City shopping items,Night market shopping,Urban life / shopping,Shopper / Urban Explorer
Visiting museums / monuments,Cities,Always on the move and adventurous,Homestays / local inns,City shopping items,Night market shopping,Urban life / shopping,Shopper / Urban Explorer
Visiting museums / monuments,Heritage sites,Relaxed and slow,Luxury resorts,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Relaxing on a beach,Forests,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Visiting temples / spiritual places,Heritage sites,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Peace / spiritual connection,Spiritual Traveler
Visiting museums / monuments,Heritage sites,Relaxed and slow,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
Hiking or adventure sports,Mountains,Always on the move and adventurous,Homestays / local inns,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Exploring local cuisine,Beaches,Balanced with some activity,Budget hostels,Local snacks / food items,Trying street food,Food discovery,Foodie
Visiting museums / monuments,Mountains,Relaxed and slow,Beachside cottages,Handicrafts / art,Romantic dinner by the sea,Romantic time,Romantic Couple
Relaxing on a beach,Beaches,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Visiting museums / monuments,Cities,Balanced with some activity,Luxury resorts,City shopping items,Relaxing on the beach,Family bonding,Family Planner
Relaxing on a beach,Mountains,Relaxed and slow,Luxury resorts,Handicrafts / art,Romantic dinner by the sea,Romantic time,Romantic Couple
Visiting museums / monuments,Heritage sites,Always on the move and adventurous,Homestays / local inns,City shopping items,Night market shopping,Urban life / shopping,Shopper / Urban Explorer
Relaxing on a beach,Forests,Relaxed and slow,Luxury resorts,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Visiting museums / monuments,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Romantic dinner by the sea,Romantic time,Romantic Couple
Hiking or adventure sports,Mountains,Always on the move and adventurous,Budget hostels,Photos of nature & adventure,Campfire or trek,Adventure & thrill,Adventure Seeker
Nature walks or beaches,Beaches,Relaxed and slow,Beachside cottages,Photos of nature & adventure,Relaxing on the beach,Relaxation,Relaxation Lover
Visiting museums / monuments,Cities,Balanced with some activity,Homestays / local inns,Handicrafts / art,Exploring temples,Discover new cultures,Culture Seeker
